"NULL_PREDICTORxdataset","NULL_PREDICTORxk_fold","NULL_PREDICTORxresponse_mean","NULL_PREDICTORxresponse_sd","num_training_samples","superset_num_coefficients","NULL_PREDICTORxsuperset_predictor_matrix","NULL_PREDICTORxadded_predictor","added_predictor_coefficient","added_predictor_pvalue","superset_anova_pvalue","NULL_PREDICTORxsuperset_mse","NULL_PREDICTORxsuperset_test_sd","NULL_PREDICTORxmse_diff","NULL_PREDICTORxmse_ratio","RESPONSE_VARIABLExstd_mse_diff","NULL_PREDICTORxstd_mse_ratio","superset_r_sq","superset_r_sq_adj","r_sq_diff","r_sq_ratio","r_sq_adj_diff","r_sq_adj_ratio","aic_diff","aic_ratio","aic_corrected_diff","aic_corrected_ratio","bic_diff","bic_ratio","superset_normality_pvalue","normality_pvalue_diff","normality_pvalue_ratio","added_predictor_vif","mean_vif","max_vif","null_ptransform_pvalue","response_est_ptransform","NULL_PREDICTORxadded_predictor_est_ptransform"
"1",1,1,1.23998601476212,0.230578720230437,1488,2,"TFF","SMI",0.922304059090909,0,77.6857560887176,0.000835823017384464,0.210314492487838,0.0437021276666586,53.2863414355535,0.207794180751409,0.982634435681364,0.982622749568094,-0.982634435681364,0,-0.982622749568094,0,6029.25995061013,0.419958790835141,6029.24916532343,0.419958325327984,6023.95476239473,0.419877004111274,1.1049238524163e-17,-1.1049238524163e-17,3.88897339439052e-22,0,0,0,0,-1.31028952992044,-0.400118615730494
"2",1,1,1.23998601476212,0.230578720230437,1488,2,"FTF","CAC",1.04992946679869,0,73.9360242882337,0.00329483624379039,0.210314492487838,0.0412431144402527,13.5175005337463,0.19610210381787,0.935204690806164,0.935161086964176,-0.935204690806164,0,-0.935161086964176,0,4069.94483603546,0.517505908616178,4069.93405074876,0.517505646477947,4064.63964782006,0.517527956431041,2.03630456183775e-21,-2.03630456183775e-21,2.11020470385649e-18,0,0,0,0,-1.10473082087531,-2.47975413837685
"3",1,1,1.23998601476212,0.230578720230437,1488,2,"FFT","FTSE",0.88388472409123,0,75.2725584692804,0.00242269342942209,0.210314492487838,0.042115257254621,18.3836510815433,0.200248954584318,0.952110293285747,0.952078066026854,-0.952110293285747,0,-0.952078066026854,0,4519.81577693532,0.491303496526874,4519.80499164862,0.491303168225881,4514.51058871992,0.491293098943298,8.89363601568296e-26,-8.89363601568253e-26,4.83156659132117e-14,0,0,0,0,-1.81041288598011,0.128058963668362
"4",1,1,1.23998601476212,0.230578720230437,1488,3,"TTF","CAC",0.294251332432629,7.82194960803453e-184,0.591176559532842,0.000508922839931187,0.210314492487838,0.000326900177453277,1.64233740717449,0.00155433975845569,0.990112131390487,0.990098814395727,-0.00747769570912327,0.992447627423147,-0.00747606482763263,0.992449173033102,836.012688737146,0.925559060430116,835.999193497235,0.925559994091979,830.707500521754,0.925926474872247,1.43630875567739e-10,-1.43630864518501e-10,7.69280176040695e-08,9.82325719826162,9.82325719826162,9.82325719826162,0,-0.436473449995338,-1.92495260177365
"5",1,1,1.23998601476212,0.230578720230437,1488,3,"TFT","FTSE",-0.2815372162046,2.55754373978466e-38,0.14651549085295,0.000761550248740998,0.210314492487838,7.42727686434662e-05,1.09752838866018,0.000353150977685292,0.98448768618598,0.984466794180843,-0.0018532505046156,0.998117548314093,-0.00184404461274845,0.9981268595105,165.928292084029,0.984287786220493,165.914796844118,0.984289003972154,160.623103868636,0.984767192119831,6.19485620148307e-10,-6.19485609099069e-10,1.7836150129712e-08,52.123491710967,52.123491710967,52.123491710967,0,-1.48211534434424,0.344967414937036
"6",1,1,1.23998601476212,0.230578720230437,1488,3,"TTF","SMI",0.683315839461637,0,4.34090836001668,0.000508922839931187,0.210314492487838,0.0027859134038592,6.47413710934233,0.0132464166919942,0.990112131390487,0.990098814395727,-0.0549074405843234,0.944544219948893,-0.0549377274315509,0.94451288433763,2795.32780331181,0.751096088746357,2795.3143080719,0.751096394319266,2790.02261509642,0.751215909141857,1.43630875567739e-10,-1.43630875565703e-10,1.417734560058e-11,9.82325719826162,9.82325719826162,9.82325719826162,0,-0.436473449995338,0.319215996655092
"7",1,1,1.23998601476212,0.230578720230437,1488,3,"FTT","FTSE",0.506743863050685,0,3.90444277353196,0.00078834647254508,0.210314492487838,0.0025064897712453,4.1794266335123,0.011917817652962,0.984591349501206,0.984570597109962,-0.0493866586950418,0.949840450334993,-0.0494095101457853,0.94981618353136,2135.2205593372,0.798000838508561,2135.20706409729,0.798001342572435,2129.91537112181,0.798198882199008,2.35048774938889e-06,-2.35048774938889e-06,8.66332769599489e-16,6.33670304163837,6.33670304163837,6.33670304163837,0,-0.889154435291078,0.776482971991925
"8",1,1,1.23998601476212,0.230578720230437,1488,4,"TTT","FTSE",-0.0182952339266772,0.339568487105746,0.000480456787103067,0.000509372838965172,0.210314492487838,-4.49999033984793e-07,0.999116562565646,-2.13964824136289e-06,0.990118208609886,0.990098231942655,-6.07721939815953e-06,0.999993862127425,5.82453072217604e-07,1.00000058827807,-1.08517367020977,1.0000966362773,-1.10138434537294,1.00009808035598,-6.39036188560385,1.00057014835537,1.13684203413363e-10,2.99466721543761e-11,1.26341981783949,67.1223297844557,61.2754609395447,104.054096410484,0,-0.86693563483325,0.710141903688658
"9",1,1,1.23998601476212,0.230578720230437,1488,3,"TFT","SMI",1.20869247538838,0,2.55971311029008,0.000761550248740998,0.210314492487838,0.00166114318068109,3.18126536420585,0.00789837714477593,0.98448768618598,0.984466794180843,-0.032377392900233,0.967112445026441,-0.0323887281539887,0.9671002329937,1675.37246575884,0.841354298223168,1675.35897051893,0.841354968744775,1670.06727754345,0.841617965454198,6.19485620148307e-10,-6.19485620148307e-10,1.43564850037258e-16,52.123491710967,52.123491710967,52.123491710967,0,-1.48211534434424,-0.567659788593929
"10",1,1,1.23998601476212,0.230578720230437,1488,3,"FTT","CAC",0.492553642957503,0,2.56790859248526,0.00078834647254508,0.210314492487838,0.00163434695687701,3.07313283409605,0.00777096688651409,0.984591349501206,0.984570597109962,-0.032481056215459,0.967010621988591,-0.0324925310831073,0.966998271958879,1685.34961843734,0.840560166838251,1685.33612319743,0.840560833689455,1680.04443022195,0.840822387325393,2.35048774938889e-06,-2.35048774938889e-06,3.78374063765924e-20,6.33670304163837,6.33670304163837,6.33670304163837,0,-0.889154435291078,-2.30928283742081
"11",1,1,1.23998601476212,0.230578720230437,1488,4,"TTT","CAC",0.289751471840199,1.66630432831779e-147,0.445141525466995,0.000509372838965172,0.210314492487838,0.000252177409775826,1.49507431587468,0.00119904913252903,0.990118208609886,0.990098231942655,-0.00563052242390583,0.994313282621263,-0.00563143776181196,0.994312243391484,668.999222982908,0.940424656254732,668.983012307745,0.940425799343652,663.694034767514,0.940785190390818,1.13684203413363e-10,5.05801416734944e-10,5.44917940706166,12.6499566236947,61.2754609395447,104.054096410484,0,-0.86693563483325,-2.26850928031932
"12",1,1,1.23998601476212,0.230578720230437,1488,4,"TTT","SMI",0.705581065955349,2.4266723473707e-145,0.436946043271819,0.000509372838965172,0.210314492487838,0.000278973633579909,1.54768062259987,0.00132645939079087,0.990118208609886,0.990098231942655,-0.00552685910867978,0.994417980539476,-0.00552763483269336,0.994417084432271,659.022070304401,0.941313136061585,659.005859629238,0.941314283632061,653.716882089007,0.941675352371114,1.13684203413363e-10,2.35037406518548e-06,20675.587978062,104.054096410484,61.2754609395447,104.054096410484,0,-0.86693563483325,-0.133403448299264
